[Header]
Application Name,LabSolutions
Version,5.97 SP1
Data File Name,D:\SHIMADZU\右装置\ohara\201029 InMe.lcd
Output Date,2020/10/29
Output Time,14:07:31

[Configuration]
Instrument Name,右_HPLC
Instrument #,2
Line #,1
# of Detectors,1
Detector ID,Detector A
Detector Name,検出器A
# of Channels,2

[LC Chromatogram(Detector A-Ch1)]
Interval(msec),500
# of Points,4099
Start Time(min),0.000
End Time(min),34.150
Intensity Units,mAU
Intensity Multiplier,0.001
Wavelength(nm),254nm
R.Time (min),Intensity
0.00000,-7
0.00833,-7
0.01667,-3
0.02500,-5
0.03333,-5
0.04167,-3
0.05000,2
0.05833,8
0.06667,11
0.07500,11
0.08333,9
0.09167,5
0.10000,1
0.10833,0
0.11667,0
0.12500,3
0.13333,8
0.14167,10
0.15000,9
0.15833,7
0.16667,6
0.17500,8
0.18333,12
0.19167,16
0.20000,18
0.20833,16
0.21667,11
0.22500,5
0.23333,-0
0.24167,-4
0.25000,-8
0.25833,-11
0.26667,-12
0.27500,-9
0.28333,-5
0.29167,-1
0.30000,1
0.30833,-1
0.31667,-3
0.32500,-4
0.33333,-4
0.34167,-4
0.35000,-4
0.35833,-6
0.36667,-8
0.37500,-11
0.38333,-12
0.39167,-12
0.40000,-11
0.40833,-10
0.41667,-8
0.42500,-7
0.43333,-6
0.44167,-3
0.45000,-1
0.45833,1
0.46667,1
0.47500,-3
0.48333,-7
0.49167,-14
0.50000,-19
0.50833,-23
0.51667,-25
0.52500,-25
0.53333,-25
0.54167,-24
0.55000,-23
0.55833,-23
0.56667,-24
0.57500,-26
0.58333,-28
0.59167,-29
0.60000,-30
0.60833,-32
0.61667,-35
0.62500,-37
0.63333,-37
0.64167,-35
0.65000,-30
0.65833,-26
0.66667,-24
0.67500,-24
0.68333,-24
0.69167,-26
0.70000,-28
0.70833,-28
0.71667,-28
0.72500,-30
0.73333,-33
0.74167,-34
0.75000,-34
0.75833,-34
0.76667,-33
0.77500,-34
0.78333,-35
0.79167,-34
0.80000,-32
0.80833,-31
0.81667,-30
0.82500,-31
0.83333,-34
0.84167,-36
0.85000,-37
0.85833,-39
0.86667,-40
0.87500,-40
0.88333,-41
0.89167,-43
0.90000,-44
0.90833,-45
0.91667,-46
0.92500,-46
0.93333,-47
0.94167,-48
0.95000,-48
0.95833,-48
0.96667,-48
0.97500,-49
0.98333,-49
0.99167,-49
1.00000,-46
1.00833,-43
1.01667,-39
1.02500,-37
1.03333,-37
1.04167,-38
1.05000,-41
1.05833,-44
1.06667,-46
1.07500,-46
1.08333,-47
1.09167,-46
1.10000,-44
1.10833,-41
1.11667,-39
1.12500,-38
1.13333,-37
1.14167,-37
1.15000,-39
1.15833,-40
1.16667,-38
1.17500,-34
1.18333,-31
1.19167,-31
1.20000,-32
1.20833,-37
1.21667,-43
1.22500,-47
1.23333,-48
1.24167,-48
1.25000,-47
1.25833,-45
1.26667,-42
1.27500,-40
1.28333,-38
1.29167,-35
1.30000,-33
1.30833,-33
1.31667,-34
1.32500,-36
1.33333,-39
1.34167,-41
1.35000,-42
1.35833,-43
1.36667,-44
1.37500,-45
1.38333,-45
1.39167,-45
1.40000,-46
1.40833,-45
1.41667,-44
1.42500,-44
1.43333,-44
1.44167,-45
1.45000,-46
1.45833,-45
1.46667,-44
1.47500,-41
1.48333,-37
1.49167,-33
1.50000,-28
1.50833,-23
1.51667,-16
1.52500,-7
1.53333,4
1.54167,19
1.55000,43
1.55833,78
1.56667,132
1.57500,198
1.58333,269
1.59167,349
1.60000,409
1.60833,452
1.61667,485
1.62500,511
1.63333,540
1.64167,589
1.65000,660
1.65833,721
1.66667,760
1.67500,777
1.68333,754
1.69167,766
1.70000,1169
1.70833,2359
1.71667,8402
1.72500,24244
1.73333,49116
1.74167,81921
1.75000,125411
1.75833,165462
1.76667,200012
1.77500,229477
1.78333,247301
1.79167,258962
1.80000,265420
1.80833,268577
1.81667,270222
1.82500,271018
1.83333,271316
1.84167,270768
1.85000,269353
1.85833,267063
1.86667,263527
1.87500,259118
1.88333,254233
1.89167,248416
1.90000,242669
1.90833,236342
1.91667,229996
1.92500,223852
1.93333,217368
1.94167,211516
1.95000,205369
1.95833,199647
1.96667,194031
1.97500,188401
1.98333,183363
1.99167,178150
2.00000,173650
2.00833,169321
2.01667,165236
2.02500,161430
2.03333,157407
2.04167,153494
2.05000,149065
2.05833,144625
2.06667,139868
2.07500,134780
2.08333,129779
2.09167,124192
2.10000,118811
2.10833,112965
2.11667,106999
2.12500,100958
2.13333,94324
2.14167,87900
2.15000,80714
2.15833,73627
2.16667,66184
2.17500,58356
2.18333,50873
2.19167,42709
2.20000,35170
2.20833,27349
2.21667,19750
2.22500,12614
2.23333,5224
2.24167,-1319
2.25000,-8078
2.25833,-14250
2.26667,-20157
2.27500,-25997
2.28333,-31176
2.29167,-36529
2.30000,-41259
2.30833,-45964
2.31667,-50426
2.32500,-54518
2.33333,-58697
2.34167,-62369
2.35000,-66140
2.35833,-69585
2.36667,-72893
2.37500,-76154
2.38333,-79002
2.39167,-81894
2.40000,-84355
2.40833,-86680
2.41667,-88700
2.42500,-90234
2.43333,-91377
2.44167,-91401
2.45000,-90391
2.45833,-88553
2.46667,-85682
2.47500,-82211
2.48333,-78666
2.49167,-74672
2.50000,-70925
